"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD"
"USC00215902","NEW YORK MILLS, MN US","2023-01-01","0.00","0.0","18.0","28","16","16",
"USC00215902","NEW YORK MILLS, MN US","2023-01-02","0.00","0.0","18.0","20","14","15",
"USC00215902","NEW YORK MILLS, MN US","2023-01-03","0.00","0.0","17.0","20","3","5",
"USC00215902","NEW YORK MILLS, MN US","2023-01-04","0.16","2.8","18.0","22","3","21",
"USC00215902","NEW YORK MILLS, MN US","2023-01-05","0.07","0.9","18.0","24","14","15",
"USC00215902","NEW YORK MILLS, MN US","2023-01-06","0.00","0.0","17.0","24","0","0",
"USC00215902","NEW YORK MILLS, MN US","2023-01-07","0.00","0.0","17.0","15","-3","-3",
"USC00215902","NEW YORK MILLS, MN US","2023-01-08","0.00","0.0","17.0","23","-3","14",
"USC00215902","NEW YORK MILLS, MN US","2023-01-09","0.00","0.0","16.0","24","5","8",
"USC00215902","NEW YORK MILLS, MN US","2023-01-10","0.00","0.0","15.0","24","8","23",
"USC00215902","NEW YORK MILLS, MN US","2023-01-11","0.00","0.0","15.0","29","23","25",
"USC00215902","NEW YORK MILLS, MN US","2023-01-12","0.03","0.5","15.0","28","11","11",
"USC00215902","NEW YORK MILLS, MN US","2023-01-13","0.00","0.0","15.0","18","-3","-3",
"USC00215902","NEW YORK MILLS, MN US","2023-01-14","0.00","0.0","15.0","15","-4","11",
"USC00215902","NEW YORK MILLS, MN US","2023-01-15","0.00","0.0","15.0","27","11","27",
"USC00215902","NEW YORK MILLS, MN US","2023-01-16","0.00","0.0","15.0","38","24","27",
"USC00215902","NEW YORK MILLS, MN US","2023-01-17","0.10","1.0","13.0","33","24","24",
"USC00215902","NEW YORK MILLS, MN US","2023-01-18","0.00","0.0","13.0","24","16","18",
"USC00215902","NEW YORK MILLS, MN US","2023-01-19","0.00","0.0","13.0","27","18","24",
"USC00215902","NEW YORK MILLS, MN US","2023-01-20","0.03","0.4","13.0","27","14","15",
"USC00215902","NEW YORK MILLS, MN US","2023-01-21","0.00","0.0","13.0","27","14","17",
"USC00215902","NEW YORK MILLS, MN US","2023-01-22","0.00","0.0","13.0","21","3","3",
"USC00215902","NEW YORK MILLS, MN US","2023-01-23","0.00","0.0","13.0","17","2","16",
"USC00215902","NEW YORK MILLS, MN US","2023-01-24","0.00","0.0","13.0","30","13","13",
"USC00215902","NEW YORK MILLS, MN US","2023-01-25","0.10","1.6","13.0","25","13","19",
"USC00215902","NEW YORK MILLS, MN US","2023-01-26","0.00","0.0","13.0","20","-4","1",
"USC00215902","NEW YORK MILLS, MN US","2023-01-27","0.12","2.2","14.0","28","1","13",
"USC00215902","NEW YORK MILLS, MN US","2023-01-28","0.00","0.0","14.0","13","-13","-11",
"USC00215902","NEW YORK MILLS, MN US","2023-01-29","0.00","0.0","14.0","-2","-18","-16",
"USC00215902","NEW YORK MILLS, MN US","2023-01-30","0.00","0.0","14.0","0","-19","-19",
"USC00215902","NEW YORK MILLS, MN US","2023-01-31","0.00","0.0","14.0","-2","-20","-11",
"USC00215902","NEW YORK MILLS, MN US","2023-02-01","0.00","0.0","14.0","3","-12","-2",
"USC00215902","NEW YORK MILLS, MN US","2023-02-02","0.00","0.0","14.0","19","-3","-3",
"USC00215902","NEW YORK MILLS, MN US","2023-02-03","0.00","0.0","14.0","-3","-20","-13",
"USC00215902","NEW YORK MILLS, MN US","2023-02-04","0.00","0.0","14.0","0","-13","-2",
"USC00215902","NEW YORK MILLS, MN US","2023-02-05","0.00","0.0","14.0","28","-2","12",
"USC00215902","NEW YORK MILLS, MN US","2023-02-06","0.00","0.0","13.0","27","10","18",
"USC00215902","NEW YORK MILLS, MN US","2023-02-07","0.00","0.0","12.0","31","15","19",
"USC00215902","NEW YORK MILLS, MN US","2023-02-08","0.00","0.0","12.0","34","15","25",
"USC00215902","NEW YORK MILLS, MN US","2023-02-09","0.00","0.0","11.0","47","21","26",
"USC00215902","NEW YORK MILLS, MN US","2023-02-10","0.00","0.0","11.0","32","1","3",
"USC00215902","NEW YORK MILLS, MN US","2023-02-11","0.00","0.0","10.0","33","3","22",
"USC00215902","NEW YORK MILLS, MN US","2023-02-12","0.00","0.0","10.0","39","21","21",
"USC00215902","NEW YORK MILLS, MN US","2023-02-13","0.00","0.0","10.0","38","18","18",
"USC00215902","NEW YORK MILLS, MN US","2023-02-14","0.00","0.0","10.0","43","17","28",
"USC00215902","NEW YORK MILLS, MN US","2023-02-15","0.44","0.5","8.0","40","3","3",
"USC00215902","NEW YORK MILLS, MN US","2023-02-16","0.00","0.0","8.0","10","-1","-1",
"USC00215902","NEW YORK MILLS, MN US","2023-02-17","0.00","0.0","8.0","15","-5","-1",
"USC00215902","NEW YORK MILLS, MN US","2023-02-18","0.00","0.0","8.0","27","-2","19",
"USC00215902","NEW YORK MILLS, MN US","2023-02-19","0.00","0.0","8.0","38","18","19",
"USC00215902","NEW YORK MILLS, MN US","2023-02-20","0.12","2.1","10.0","19","7","12",
"USC00215902","NEW YORK MILLS, MN US","2023-02-21","0.04","1.5","11.0","23","-9","-8",
"USC00215902","NEW YORK MILLS, MN US","2023-02-22","0.01","0.5","11.0","10","-9","-2",
"USC00215902","NEW YORK MILLS, MN US","2023-02-23","0.12","3.0","13.0","10","-2","1",
"USC00215902","NEW YORK MILLS, MN US","2023-02-24","0.05","0.5","13.0","6","-17","-16","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-02-25","0.02","0.5","13.0","7","-17","1",
"USC00215902","NEW YORK MILLS, MN US","2023-02-26","0.00","0.0","13.0","16","-3","3",
"USC00215902","NEW YORK MILLS, MN US","2023-02-27","0.00","0.0","12.0","28","3","26",
"USC00215902","NEW YORK MILLS, MN US","2023-02-28","0.00","0.0","12.0","32","12","12",
"USC00215902","NEW YORK MILLS, MN US","2023-03-01","0.27","7.0","18.0","30","11","21",
"USC00215902","NEW YORK MILLS, MN US","2023-03-02","0.00","0.0","17.0","21","-1","0",
"USC00215902","NEW YORK MILLS, MN US","2023-03-03","0.00","0.0","16.0","24","0","23",
"USC00215902","NEW YORK MILLS, MN US","2023-03-04","0.00","0.0","16.0","37","13","14",
"USC00215902","NEW YORK MILLS, MN US","2023-03-05","0.00","0.0","15.0","35","10","11",
"USC00215902","NEW YORK MILLS, MN US","2023-03-06","0.00","0.0","14.0","39","11","27",
"USC00215902","NEW YORK MILLS, MN US","2023-03-07","0.00","0.0","13.0","36","9","9",
"USC00215902","NEW YORK MILLS, MN US","2023-03-08","0.19","4.0","16.0","30","9","29",
"USC00215902","NEW YORK MILLS, MN US","2023-03-09","0.00","0.0","15.0","32","24","28",
"USC00215902","NEW YORK MILLS, MN US","2023-03-10","0.13","1.0","16.0","34","20","29",
"USC00215902","NEW YORK MILLS, MN US","2023-03-11","0.07","1.5","17.0","34","19","20",
"USC00215902","NEW YORK MILLS, MN US","2023-03-12","0.44","5.5","22.0","27","18","25",
"USC00215902","NEW YORK MILLS, MN US","2023-03-13","0.00","0.0","20.0","27","9","9",
"USC00215902","NEW YORK MILLS, MN US","2023-03-14","0.00","0.0","19.0","29","2","5",
"USC00215902","NEW YORK MILLS, MN US","2023-03-15","0.00","0.0","19.0","29","4","18",
"USC00215902","NEW YORK MILLS, MN US","2023-03-16","0.00","0.0","18.0","37","18","30",
"USC00215902","NEW YORK MILLS, MN US","2023-03-17","0.10","0.9","18.0","31","0","0",
"USC00215902","NEW YORK MILLS, MN US","2023-03-18","0.00","0.0","18.0","8","0","5",
"USC00215902","NEW YORK MILLS, MN US","2023-03-19","0.00","0.0","18.0","18","0","6",
"USC00215902","NEW YORK MILLS, MN US","2023-03-20","0.00","0.0","18.0","31","6","13",
"USC00215902","NEW YORK MILLS, MN US","2023-03-21","0.00","0.0","18.0","33","12","14",
"USC00215902","NEW YORK MILLS, MN US","2023-03-22","0.35","4.8","22.0","33","13","25",
"USC00215902","NEW YORK MILLS, MN US","2023-03-23","0.00","0.0","22.0","27","5","5",
"USC00215902","NEW YORK MILLS, MN US","2023-03-24","0.00","0.0","20.0","29","1","1",
"USC00215902","NEW YORK MILLS, MN US","2023-03-25","0.00","0.0","19.0","35","1","30",
"USC00215902","NEW YORK MILLS, MN US","2023-03-26","0.00","0.0","18.0","39","8","10",
"USC00215902","NEW YORK MILLS, MN US","2023-03-27","0.00","0.0","18.0","30","10","11",
"USC00215902","NEW YORK MILLS, MN US","2023-03-28","0.00","0.0","18.0","25","-1","-1",
"USC00215902","NEW YORK MILLS, MN US","2023-03-29","0.03","1.0","18.0","19","-5","-5",
"USC00215902","NEW YORK MILLS, MN US","2023-03-30","0.00","0.0","18.0","20","-5","-1",
"USC00215902","NEW YORK MILLS, MN US","2023-03-31","0.00","0.0","18.0","31","-5","28",
"USC00215902","NEW YORK MILLS, MN US","2023-04-01","0.00","0.0","18.0","37","5","19",
"USC00215902","NEW YORK MILLS, MN US","2023-04-02","0.00","0.0","17.0","40","5","29",
"USC00215902","NEW YORK MILLS, MN US","2023-04-03","0.00","0.0","16.0","43","21","27",
"USC00215902","NEW YORK MILLS, MN US","2023-04-04","0.00","0.0","16.0","31","24","29",
"USC00215902","NEW YORK MILLS, MN US","2023-04-05","0.44","4.9","20.0","29","22","22",
"USC00215902","NEW YORK MILLS, MN US","2023-04-06","0.20","1.3","20.0","22","13","15",
"USC00215902","NEW YORK MILLS, MN US","2023-04-07","0.00","0.0","20.0","28","10","13",
"USC00215902","NEW YORK MILLS, MN US","2023-04-08","0.00","0.0","19.0","42","13","23","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-04-09","0.00","0.0","18.0","48","23","40","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-04-10","0.00","0.0","16.0","57","23","30",
"USC00215902","NEW YORK MILLS, MN US","2023-04-11","0.00","0.0","12.0","58","30","48",
"USC00215902","NEW YORK MILLS, MN US","2023-04-12","0.00","0.0","10.0","67","48","49",
"USC00215902","NEW YORK MILLS, MN US","2023-04-13","0.00","0.0","8.0","64","40","44",
"USC00215902","NEW YORK MILLS, MN US","2023-04-14","0.00","0.0","0.0","73","40","41",
"USC00215902","NEW YORK MILLS, MN US","2023-04-15","0.00","0.0","0.0","51","34","34",
"USC00215902","NEW YORK MILLS, MN US","2023-04-16","0.16","1.2","1.0","37","26","26",
"USC00215902","NEW YORK MILLS, MN US","2023-04-17","0.00","0.0","0.0","44","26","27",
"USC00215902","NEW YORK MILLS, MN US","2023-04-18","0.00","0.0","0.0","48","25","28","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-04-19","0.01","0.0","0.0","57","28","35","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-04-20","0.05","0.0","0.0","40","31","32",
"USC00215902","NEW YORK MILLS, MN US","2023-04-21","1.07","6.5","6.0","34","26","26","0.0"
"USC00215902","NEW YORK MILLS, MN US","2023-04-22","0.00","0.0","5.0","31","25","28",
"USC00215902","NEW YORK MILLS, MN US","2023-04-23","0.00","0.0","4.0","35","21","25",
"USC00215902","NEW YORK MILLS, MN US","2023-04-24","0.00","0.0","2.0","39","23","24",
"USC00215902","NEW YORK MILLS, MN US","2023-04-25","0.00","0.0","1.0","43","24","26",
"USC00215902","NEW YORK MILLS, MN US","2023-04-26","0.00","0.0","0.0","51","24","28",
"USC00215902","NEW YORK MILLS, MN US","2023-04-27","0.00","0.0",,"50","28","32",
"USC00215902","NEW YORK MILLS, MN US","2023-04-28","0.29","0.0",,"60","32","40",
"USC00215902","NEW YORK MILLS, MN US","2023-04-29","0.00","0.0",,"52","35","40",
"USC00215902","NEW YORK MILLS, MN US","2023-04-30","0.00","0.0",,"51","34","35",
"USC00215902","NEW YORK MILLS, MN US","2023-05-01","0.00","0.0",,"54","34","35",
"USC00215902","NEW YORK MILLS, MN US","2023-05-02","0.00","0.0",,"52","32","33",
"USC00215902","NEW YORK MILLS, MN US","2023-05-03","0.00","0.0",,"60","33","35",
"USC00215902","NEW YORK MILLS, MN US","2023-05-04","0.00","0.0",,"71","33","46",
"USC00215902","NEW YORK MILLS, MN US","2023-05-05","0.00","0.0",,"72","41","41",
"USC00215902","NEW YORK MILLS, MN US","2023-05-06","0.00","0.0","0.0","71","41","47",
"USC00215902","NEW YORK MILLS, MN US","2023-05-07","0.65","0.0","0.0","52","47","50",
"USC00215902","NEW YORK MILLS, MN US","2023-05-08","0.00","0.0",,"56","47","47",
"USC00215902","NEW YORK MILLS, MN US","2023-05-09","0.00","0.0",,"59","40","44",
"USC00215902","NEW YORK MILLS, MN US","2023-05-10","1.18","0.0",,"73","44","54",
"USC00215902","NEW YORK MILLS, MN US","2023-05-11","0.09","0.0",,"76","51","55",
"USC00215902","NEW YORK MILLS, MN US","2023-05-12","0.00","0.0",,"82","55","59",
"USC00215902","NEW YORK MILLS, MN US","2023-05-13","0.00","0.0",,"78","57","61",
"USC00215902","NEW YORK MILLS, MN US","2023-05-14","0.05","0.0",,"63","49","51",
"USC00215902","NEW YORK MILLS, MN US","2023-05-15","0.00","0.0",,"74","45","50",
"USC00215902","NEW YORK MILLS, MN US","2023-05-16","0.00","0.0",,"76","50","54",
"USC00215902","NEW YORK MILLS, MN US","2023-05-17","0.00","0.0",,"79","46","47",
"USC00215902","NEW YORK MILLS, MN US","2023-05-18","0.01","0.0","0.0","74","47","52",
"USC00215902","NEW YORK MILLS, MN US","2023-05-19","0.00","0.0","0.0","65","38","39",
"USC00215902","NEW YORK MILLS, MN US","2023-05-20","0.00","0.0",,"62","39","59",
"USC00215902","NEW YORK MILLS, MN US","2023-05-21","0.00","0.0",,"73","43","65",
"USC00215902","NEW YORK MILLS, MN US","2023-05-22","0.00","0.0",,"79","50","50",
"USC00215902","NEW YORK MILLS, MN US","2023-05-23","0.00","0.0",,"84","50","60",
"USC00215902","NEW YORK MILLS, MN US","2023-05-24","0.00","0.0",,"85","50","50",
"USC00215902","NEW YORK MILLS, MN US","2023-05-25","0.00","0.0",,"59","42","45",
"USC00215902","NEW YORK MILLS, MN US","2023-05-26","0.00","0.0",,"80","45","58",
"USC00215902","NEW YORK MILLS, MN US","2023-05-27","0.00","0.0",,"82","45","78",
"USC00215902","NEW YORK MILLS, MN US","2023-05-28","0.00","0.0",,"82","49","82",
"USC00215902","NEW YORK MILLS, MN US","2023-05-29","0.00","0.0",,"82","50","66",
"USC00215902","NEW YORK MILLS, MN US","2023-05-30","0.01","0.0",,"80","61","62",
"USC00215902","NEW YORK MILLS, MN US","2023-05-31","0.02","0.0",,"81","57","61",
"USC00215902","NEW YORK MILLS, MN US","2023-06-01","0.00","0.0",,"90","60","65",
"USC00215902","NEW YORK MILLS, MN US","2023-06-02","0.00","0.0",,"90","63","66",
"USC00215902","NEW YORK MILLS, MN US","2023-06-03","0.00","0.0","0.0","89","62","62",
"USC00215902","NEW YORK MILLS, MN US","2023-06-04","0.00","0.0","0.0","90","62","70",
"USC00215902","NEW YORK MILLS, MN US","2023-06-05","0.00","0.0",,"92","66","69",
"USC00215902","NEW YORK MILLS, MN US","2023-06-06","0.00","0.0",,"82","60","62",
"USC00215902","NEW YORK MILLS, MN US","2023-06-07","0.40","0.0",,"86","54","56",
"USC00215902","NEW YORK MILLS, MN US","2023-06-08","0.14","0.0",,"80","50","55",
"USC00215902","NEW YORK MILLS, MN US","2023-06-09","0.00","0.0",,"80","50","61",
"USC00215902","NEW YORK MILLS, MN US","2023-06-10","0.57","0.0",,"82","59","61",
"USC00215902","NEW YORK MILLS, MN US","2023-06-11","0.00","0.0",,"73","46","52",
"USC00215902","NEW YORK MILLS, MN US","2023-06-12","0.00","0.0",,"72","50","57",
"USC00215902","NEW YORK MILLS, MN US","2023-06-13","0.00","0.0",,"78","54","59",
"USC00215902","NEW YORK MILLS, MN US","2023-06-14","0.00","0.0",,"82","57","61",
"USC00215902","NEW YORK MILLS, MN US","2023-06-15","0.00","0.0",,"79","49","49",
"USC00215902","NEW YORK MILLS, MN US","2023-06-16","0.00","0.0",,"79","46","47",
"USC00215902","NEW YORK MILLS, MN US","2023-06-17","0.12","0.0",,"76","47","58",
"USC00215902","NEW YORK MILLS, MN US","2023-06-18","0.15","0.0",,"74","57","64",
"USC00215902","NEW YORK MILLS, MN US","2023-06-19","0.00","0.0",,"80","57","68",
"USC00215902","NEW YORK MILLS, MN US","2023-06-20","0.00","0.0",,"87","68","73",
"USC00215902","NEW YORK MILLS, MN US","2023-06-21","0.00","0.0",,"89","62","69",
"USC00215902","NEW YORK MILLS, MN US","2023-06-22","0.00","0.0",,"88","63","69",
"USC00215902","NEW YORK MILLS, MN US","2023-06-23","0.09","0.0",,"85","63","63",
